scan_name,dice_score,haus_score
DTU_063,0.3027377724647522,48.0
DTU_063,0.2962433397769928,48.0
DTU_063,0.2957712709903717,47.0
DTU_063,0.30240878462791443,48.0
DTU_063,0.3025330603122711,47.0
DTU_063,0.39964330196380615,49.0
DTU_066,0.15865826606750488,56.0
DTU_066,0.2438184916973114,200.0
DTU_066,0.2864917814731598,44.0
DTU_066,0.3198291063308716,46.0
DTU_066,0.2877355217933655,44.0
DTU_066,0.2980349361896515,52.0
DTU_067,0.2912278473377228,120.0
DTU_067,0.29644352197647095,44.0
DTU_067,0.2951529026031494,43.0
DTU_067,0.32193127274513245,225.0
DTU_067,0.291107177734375,280.0
DTU_067,0.31349700689315796,46.0
DTU_081,0.26348912715911865,43.0
DTU_081,0.21579690277576447,42.0
DTU_081,0.28780755400657654,40.0
DTU_081,0.3014380931854248,44.0
DTU_081,0.3379767835140228,42.0
DTU_081,0.2510416805744171,44.0
DTU_083,0.14111179113388062,65.0
DTU_083,0.2520488202571869,44.0
DTU_083,0.18007108569145203,40.0
DTU_083,0.21532566845417023,39.0
DTU_083,0.3409655690193176,321.0
DTU_083,0.2672501504421234,49.0
DTU_087,0.1598290652036667,217.0
DTU_087,0.3034821152687073,40.0
DTU_087,0.28568971157073975,43.0
DTU_087,0.25497865676879883,278.0
DTU_087,0.25146302580833435,40.0
DTU_087,0.2972257733345032,42.0
