scan_name,dice_score,haus_score
DTU_063,0.20888644456863403,268.0
DTU_063,0.20590512454509735,313.0
DTU_063,0.2092328518629074,315.0
DTU_063,0.21636679768562317,263.0
DTU_063,0.2274932563304901,261.0
DTU_063,0.27354946732521057,267.0
DTU_066,0.15764251351356506,56.0
DTU_066,0.29123249650001526,51.0
DTU_066,0.2786885201931,346.0
DTU_066,0.31244152784347534,46.0
DTU_066,0.27842292189598083,397.0
DTU_066,0.2895015776157379,52.0
DTU_067,0.34866470098495483,119.0
DTU_067,0.28604698181152344,44.0
DTU_067,0.28976064920425415,43.0
DTU_067,0.30450406670570374,46.0
DTU_067,0.30149397253990173,194.0
DTU_067,0.22963978350162506,319.0
DTU_081,0.2283865064382553,215.0
DTU_081,0.18803651630878448,42.0
DTU_081,0.14621788263320923,181.0
DTU_081,0.2952744960784912,44.0
DTU_081,0.3038828372955322,42.0
DTU_081,0.23675446212291718,44.0
DTU_083,0.1944894641637802,66.0
DTU_083,0.2714748680591583,76.0
DTU_083,0.21999019384384155,64.0
DTU_083,0.050059594213962555,303.0
DTU_083,0.3101767897605896,225.0
DTU_083,0.22393746674060822,49.0
DTU_087,0.11665037274360657,229.0
DTU_087,0.24513468146324158,40.0
DTU_087,0.308083176612854,316.0
DTU_087,0.26676997542381287,418.0
DTU_087,0.22638888657093048,283.0
DTU_087,0.1731157749891281,43.0
